,y(01),y(02),y(03),y(04),y(05),y(06),y(07),y(08),y(09),y(10)
1976-05,6.6995,7.2011,7.4238,7.5365,7.6016,7.6436,7.6729,7.6947,7.7116,7.7251
1976-06,6.3932,6.882999999999999,7.1583,7.3247,7.4324,7.5065,7.5601,7.6005,7.6319,7.6571
1976-07,6.1161,6.669,7.0008,7.211,7.3513,7.4495,7.5213,7.5758,7.6183,7.6524
1976-08,5.9275,6.4427,6.7808,7.0103,7.1714,7.2882,7.3756,7.4428,7.4958,7.5385
1976-09,5.8056,6.251,6.5760000000000005,6.8173,6.9995,7.1395,7.249,7.336,7.4063,7.4639999999999995
1976-10,5.5427,5.9922,6.3309,6.5896,6.7897,6.9468,7.0717,7.1725,7.2548,7.3229
1976-11,5.018,5.3661,5.6718,5.9409,6.1783,6.3883,6.5746,6.7402,6.8879,7.0199
1976-12,4.9313,5.3607,5.7077,5.9797,6.1907,6.3548,6.4833,6.5853,6.6674,6.7344
1977-01,5.6554,6.1686,6.501,6.7242,6.8797,6.9917,7.0751,7.1391,7.1894,7.2299
1977-02,5.5305,6.093999999999999,6.468,6.7241,6.9052,7.0372,7.1362,7.2126,7.2729,7.3216
1977-03,5.4275,5.9937,6.3923,6.6731,6.874,7.0209,7.1311,7.2159,7.2827,7.3364
1977-04,5.507000000000001,6.0494,6.4248,6.6909,6.8844,7.0285,7.1385,7.2242,7.2925,7.3478
1977-05,5.7504,6.1237,6.4143,6.6429,6.8245,6.9704,7.0887,7.1858,7.2662,7.3335
1977-06,5.6265,5.9819,6.2625,6.4859,6.6655,6.8112,6.9305,7.029,7.1112,7.1804
1977-07,6.0889,6.4129,6.65,6.8265,6.96,7.0629,7.1434,7.2075,7.2593,7.3018
1977-08,6.2191,6.4595,6.6425,6.7834,6.8934,6.9802,7.0497,7.1061,7.1523,7.1906
1977-09,6.5127,6.6948,6.8352,6.9446,7.0308,7.0995,7.155,7.2002,7.2374,7.2685
1977-10,6.8358,7.0398,7.1659,7.2475,7.3029,7.3421,7.3708,7.3928,7.4099,7.4237
1977-11,6.7586,6.9434,7.0731,7.1662,7.2345,7.2858,7.3252,7.356,7.3806,7.4007
1977-12,6.8873,7.1044,7.2616,7.3776,7.4647,7.5314,7.5833,7.6244,7.6575,7.6847
1978-01,7.1202,7.316,7.4573,7.5611,7.6389,7.6983,7.7444,7.781000000000001,7.8104,7.8344
1978-02,7.1602,7.4052,7.5633,7.6692,7.7428,7.7958,7.8352,7.8655,7.8892,7.9084
1978-03,7.2575,7.5263,7.6774,7.7688,7.827999999999999,7.8687,7.8982,7.9203,7.9376,7.9515
1978-04,7.4114,7.6945,7.8207,7.8878,7.9287,7.9559,7.9754,7.9901,8.0015,8.0106
1978-05,7.7821,7.9794,8.0492,8.0842,8.1052,8.1192,8.1292,8.1367,8.1425,8.1472
1978-06,8.1773,8.3074,8.3408,8.3557,8.3643,8.3701,8.3742,8.3773,8.3797,8.3816
1978-07,8.1543,8.2574,8.2808,8.2918,8.2984,8.3028,8.3059,8.3082,8.3101,8.3115
1978-08,8.2227,8.2396,8.2225,8.2094,8.2008,8.1949,8.1907,8.1876,8.1851,8.1832
1978-09,8.62,8.4319,8.3565,8.3186,8.2958,8.2806,8.2697,8.2616,8.2553,8.2502
1978-10,9.4729,9.177,8.9868,8.8828,8.8198,8.7776,8.7476,8.725,8.7074,8.6934
1978-11,9.7248,9.2456,8.9594,8.8003,8.7032,8.6383,8.5918,8.557,8.53,8.5083
1978-12,10.2781,9.7661,9.4085,9.1959,9.062999999999999,8.9736,8.9096,8.8616,8.8243,8.7944
1979-01,9.8233,9.3233,9.0262,8.8637,8.7648,8.6988,8.6517,8.6163,8.5888,8.5668
1979-02,9.921,9.4846,9.2288,9.0884,9.003,8.9459,8.9052,8.8746,8.8508,8.8318
1979-03,9.6876,9.3672,9.157,9.03,8.9496,8.8952,8.8563,8.827,8.8043,8.786
1979-04,9.8196,9.5032,9.2999,9.1803,9.1056,9.0553,9.0194,8.9924,8.9714,8.9546
1979-05,9.5538,9.171,8.9869,8.8901,8.8316,8.7925,8.7647,8.7438,8.7275,8.7145
1979-06,8.9277,8.6752,8.5898,8.5471,8.5215,8.5044,8.4923,8.4831,8.476,8.4703
1979-07,9.3854,9.003,8.8663,8.7979,8.7569,8.7295,8.71,8.6953,8.6839,8.6748
1979-08,10.0474,9.4881,9.2422,9.1158,9.0398,8.9891,8.9529,8.9258,8.9047,8.8878
1979-09,10.5186,9.796,9.4998,9.35,9.2601,9.2001,9.1573,9.1251,9.1001,9.0801
1979-10,12.3675,11.6522,11.1973,10.8982,10.6947,10.550999999999998,10.446,10.3668,10.3052,10.2561
1979-11,11.2762,10.6389,10.2874,10.0982,10.0006,9.954,9.9354,9.9316,9.9354,9.9427
1979-12,11.4596,10.7371,10.3205,10.0904,9.9727,9.9215,9.9088,9.9175,9.9374,9.9624
1980-01,11.7677,11.1889,10.8612,10.6926,10.6231,10.6138,10.6396,10.6847,10.7392,10.7968
1980-02,14.5097,13.9358,13.2341,12.7313,12.4214,12.2407,12.1362,12.0743,12.0357,12.0101
1980-03,15.1069,13.978,13.0822,12.47,12.0978,11.9013,11.8224,11.817,11.8542,11.9137
1980-04,10.6552,10.2123,10.0818,10.0927,10.1612,10.2473,10.3332,10.4118,10.4809,10.5406
1980-05,8.7056,8.9651,9.1042,9.2493,9.4126,9.581,9.7418,9.8879,10.0167,10.1284
1980-06,8.5252,8.8705,9.096,9.2447,9.3483,9.4299,9.506,9.5879,9.6829,9.7956
1980-07,9.076,9.5049,9.7395,9.8704,9.9544,10.0257,10.1031,10.1962,10.3082,10.4389
1980-08,11.0678,11.2505,11.2956,11.2632,11.1947,11.1182,11.0516,11.0058,10.9866,10.9962
1980-09,11.8352,11.7668,11.6226,11.492,11.4055,11.3667,11.3682,11.3998,11.4514,11.5151
1980-10,12.965,12.5516,12.3444,12.2345,12.1681,12.1238,12.0921,12.0684,12.0499,12.0351
1980-11,14.0755,13.262,12.8453,12.5853,12.4114,12.2898,12.2014,12.1346,12.0825,12.0408
1980-12,13.0568,12.2879,12.1179,12.0498,11.9982,11.9538,11.9165,11.8861,11.8615,11.8414
1981-01,13.5379,12.624,12.3514,12.2331,12.1661,12.1221,12.0909,12.0674,12.0492,12.0346
1981-02,13.6658,13.1795,13.0302,12.9557,12.911,12.8812,12.8599,12.8439,12.8315,12.8216
1981-03,12.5838,12.7252,12.7735,12.7977,12.8121,12.8218,12.8287,12.8339,12.8379,12.8411
1981-04,14.3715,14.0235,13.847000000000001,13.7158,13.6137,13.5354,13.4754,13.429,13.3924,13.363
1981-05,14.4828,13.8939,13.5262,13.2614,13.0803,12.9546,12.8638,12.7956,12.7425,12.7
1981-06,14.1452,13.853,13.6219,13.4434,13.3192,13.2326,13.17,13.1229,13.0863,13.0569
1981-07,15.4688,14.9866,14.6751,14.4249,14.2177,14.0485,13.9121,13.8023,13.7136,13.640999999999998
1981-08,16.11,15.6968,15.3142,15.0353,14.8433,14.7106,14.6162,14.5464,14.4929,14.4506
1981-09,15.6917,15.7815,15.5746,15.3498,15.1776,15.0611,14.9866,14.94,14.9108,14.8921
1981-10,14.0533,14.0358,14.0541,14.0829,14.11,14.1303,14.1427,14.1478,14.1469,14.1413
1981-11,11.3575,11.8977,12.1464,12.2578,12.3111,12.3448,12.376,12.411,12.4508,12.4943
1981-12,13.2576,13.445,13.4536,13.4627,13.4752,13.4866,13.4957,13.5028,13.5085,13.513
1982-01,13.7221,13.7523,13.7064,13.6667,13.6452,13.6375,13.6375,13.6411,13.6461,13.6513
1982-02,13.6109,13.7127,13.6395,13.527000000000001,13.4317,13.3713,13.3464,13.3505,13.3758,13.4151
1982-03,13.8479,13.8444,13.8088,13.7533,13.6875,13.6182,13.5499,13.4852,13.4255,13.3713
1982-04,13.3304,13.4278,13.3923,13.3196,13.2452,13.1802,13.1265,13.0829,13.0476,13.0187
1982-05,12.7374,13.052999999999999,13.1142,13.1156,13.1059,13.095999999999998,13.088,13.0817,13.0767,13.0727
1982-06,14.0085,14.1275,14.075,13.9778,13.8809,13.7974,13.7289,13.6735,13.6287,13.592
1982-07,12.547,12.8435,12.955,13.013,13.048,13.0713,13.088,13.1005,13.1102,13.118
1982-08,11.1616,11.7785,11.9681,12.0618,12.1179,12.1554,12.1821,12.2021,12.2177,12.2302
1982-09,10.3938,11.0633,11.2943,11.4098,11.4792,11.5254,11.5584,11.5832,11.6024,11.6178
1982-10,9.3025,10.0049,10.2861,10.4273,10.5121,10.5686,10.6089,10.6392,10.6627,10.6816
1982-11,9.2379,9.8271,10.2038,10.4418,10.5917,10.6867,10.7479,10.7881,10.8154,10.8347
1982-12,8.8379,9.4221,9.8298,10.1044,10.2811,10.3877,10.4463,10.4744,10.4854,10.4896
1983-01,8.913,9.5295,9.9762,10.2935,10.5141,10.664000000000001,10.7643,10.8315,10.8784,10.9149
1983-02,8.6276,9.2003,9.5975,9.8659,10.0424,10.156,10.229,10.2784,10.3172,10.3548
1983-03,9.2239,9.658,9.9705,10.1905,10.3417,10.4431,10.5101,10.5549,10.587,10.6139
1983-04,8.729,9.2063,9.5578,9.8115,9.9902,10.1128,10.1945,10.248,10.2831,10.3078
1983-05,9.2382,9.7467,10.1059,10.3528,10.5171,10.6224,10.6876,10.7274,10.7533,10.7741
1983-06,9.5668,10.0113,10.3275,10.5459,10.6915,10.7845,10.8411,10.874,10.8934,10.9072
1983-07,10.2044,10.7451,11.0795,11.2911,11.4285,11.5206,11.5844,11.6301,11.6642,11.6903
1983-08,10.3058,10.8785,11.2107,11.4126,11.5428,11.632,11.6962,11.7446,11.7823,11.8124
1983-09,9.6662,10.2634,10.651,10.9018,11.0648,11.1716,11.2427,11.290999999999999,11.3248,11.3491
1983-10,9.6085,10.2961,10.7436,11.0369,11.2315,11.363,11.4538,11.5183,11.5655,11.6011
1983-11,9.7146,10.3289,10.748,11.0143,11.1795,11.2825,11.3483,11.3921,11.4228,11.4453
1983-12,9.9521,10.5502,10.9368,11.187000000000001,11.3501,11.458,11.5309,11.5815,11.6176,11.6444
1984-01,9.7029,10.2756,10.6937,10.9772,11.1634,11.2846,11.3642,11.4176,11.4546,11.4813
1984-02,10.0702,10.6734,11.0817,11.3522,11.5295,11.6456,11.7221,11.7734,11.8085,11.8333
1984-03,10.6885,11.2276,11.5968,11.845999999999998,12.0109,12.117,12.1823,12.2196,12.238,12.2437
1984-04,10.7854,11.4054,11.8238,12.1025,12.2847,12.4008,12.4719,12.5124,12.5327,12.5395
1984-05,11.9241,12.5567,12.9188,13.140999999999998,13.282,13.3771,13.4453,13.4964,13.5362,13.568
1984-06,11.9854,12.7456,13.0482,13.1982,13.2869,13.3459,13.3881,13.4198,13.4446,13.4644
1984-07,11.6765,12.1545,12.3161,12.399000000000001,12.4557,12.4985,12.5318,12.5579,12.5787,12.5955
1984-08,11.6763,12.1244,12.3176,12.3963,12.4244,12.4309,12.4289,12.4239,12.4183,12.4129
1984-09,11.1979,11.7064,11.9635,12.0844,12.1331,12.1446,12.1378,12.1229,12.1052,12.0873
1984-10,10.2749,10.8345,11.1274,11.2826,11.3666,11.4135,11.4409,11.4579,11.4691,11.4771
1984-11,9.4893,10.2504,10.72,11.0045,11.1739,11.2737,11.3328,11.3695,11.3948,11.4153
1984-12,9.1143,9.9548,10.4881,10.8312,11.056,11.2066,11.3101,11.3834,11.437000000000001,11.4774
1985-01,8.9924,9.7278,10.2186,10.5378,10.7394,10.8631,10.9374,10.9826,11.013,11.0383
1985-02,9.7178,10.4262,10.905,11.2235,11.4322,11.5675,11.6555,11.7144,11.7569,11.7913
1985-03,9.5094,10.2664,10.7302,11.0214,11.2107,11.3395,11.4318,11.5016,11.5571,11.6029
1985-04,9.031,9.8355,10.3493,10.6863,10.9157,11.0791,11.2016,11.298,11.3772,11.4446
1985-05,8.0683,8.8326,9.3263,9.6447,9.8531,9.9952,10.0998,10.1854,10.2631,10.3397
1985-06,7.8124,8.6052,9.1723,9.5701,9.8435,10.0278,10.1508,10.2341,10.294,10.3429
1985-07,8.2007,8.9401,9.4775,9.8619,10.1326,10.3208,10.4512,10.5431,10.6113,10.6674
1985-08,7.9553,8.7677,9.3034,9.652999999999999,9.881,10.0327,10.1395,10.2225,10.2955,10.3673
1985-09,8.011000000000001,8.7718,9.2769,9.6148,9.8463,10.0128,10.1418,10.2511,10.3519,10.4507
1985-10,7.9583,8.5834,9.0251,9.3387,9.5649,9.732999999999999,9.863999999999999,9.9726,10.0688,10.1593
1985-11,7.7914,8.3148,8.6991,8.9852,9.2024,9.3712,9.5061,9.6172,9.7115,9.7938
1985-12,7.6074,7.9363,8.1951,8.4044,8.5788,8.728,8.859,8.9762,9.0828,9.181000000000001
1986-01,7.5967,7.942,8.2217,8.4533,8.6486,8.8159,8.9613,9.089,9.202,9.3027
1986-02,7.4333,7.6473,7.7883,7.8867,7.9608,8.0217,8.0756,8.1258,8.174,8.2209
1986-03,6.829,7.0092,7.1372,7.231,7.3023,7.3587,7.405,7.4443,7.4786,7.5091
1986-04,6.6112,6.9315,7.1297,7.2558,7.3405,7.4018,7.4505,7.4923,7.5306,7.5669
1986-05,6.8865,7.419,7.737,7.9282,8.0462,8.123,8.1773,8.2197,8.2561,8.2894
1986-06,6.5566,6.9431,7.1914,7.3545,7.4658,7.5457,7.6068,7.6565,7.6992,7.7374
1986-07,6.3173,6.6756,6.9403,7.1444,7.3081,7.4437,7.5589,7.6588,7.7465,7.8242
1986-08,5.5691,5.9834,6.2933,6.5353,6.7316,6.8959,7.0366,7.1592,7.2674,7.3635
1986-09,5.9166,6.4215,6.7843,7.0564,7.2692,7.442,7.5867,7.7107,7.8186,7.9138
1986-10,5.781000000000001,6.2049,6.5293,6.7891,7.0046,7.1874,7.3448,7.4816,7.6012,7.706
1986-11,5.7933,6.1229,6.3937,6.6254,6.8278,7.0058,7.1628,7.301,7.4225,7.5293
1986-12,6.1155,6.3613,6.5622,6.7421,6.9088,7.0639,7.2072,7.3381,7.4565,7.5628
1987-01,5.976,6.2254,6.4405,6.6337,6.8092,6.9687,7.1127,7.2419,7.3571,7.4596
1987-02,6.0294,6.2886,6.4822,6.6475,6.7981,6.9378,7.0668,7.185,7.292000000000001,7.3881
1987-03,6.2574,6.5257,6.7329,6.9106,7.0702,7.2153,7.3466,7.4647,7.5699,7.6632
1987-04,6.9239,7.3362,7.5338,7.7036,7.862,8.0018,8.1197,8.2169,8.2966,8.3621
1987-05,7.1744,7.6402,7.8522,7.9955,8.1184,8.2294,8.3282,8.4143,8.4882,8.5512
1987-06,6.9199,7.36,7.646,7.8547,8.0186,8.1524,8.2634,8.3562,8.4342,8.5002
1987-07,6.9092,7.4298,7.77,8.0134,8.2006,8.3519,8.4779,8.5847,8.6759,8.7543
1987-08,7.2432,7.773,8.1041,8.3356,8.5122,8.6544,8.7722,8.8714,8.9554,9.0271
1987-09,7.8631,8.4541,8.7799,8.997,9.162,9.2956,9.4064,9.499,9.5766,9.6419
1987-10,7.0578,7.6441,8.0177,8.2925,8.4963,8.6477,8.7614,8.8488,8.9173,8.9724
1987-11,7.1073,7.6733,8.0293,8.3007,8.5138,8.6802,8.81,8.912,8.9932,9.059
1987-12,7.232790278444001,7.682244989996001,7.945396276937999,8.171430455406,8.368012352594,8.534965973391,8.673804653817001,8.787035465,8.877442058510999,8.947756719671
1988-01,6.776966548954,7.133054557442,7.370985185986,7.565977328344,7.746006614881001,7.918184920611,8.081433670231,8.232286741243,8.367331906093,8.484066972539
1988-02,6.6361128719239995,7.0214244757949995,7.257737194754,7.444724585861,7.618137589094,7.786753710996,7.949257974488,8.101575175932,8.239775395407,8.361008868652
1988-03,6.845873040679,7.292915362261,7.572726039677,7.806990152511999,8.020404706774,8.214189764871,8.386036334851001,8.534592281482,8.659887422546001,8.762926409274
1988-04,7.0980721450479995,7.595515511612001,7.8813495693840006,8.091870092606,8.279028511126,8.458236447501001,8.63050236865,8.792256328912,8.939400872978,9.068745785294
1988-05,7.642271725421,8.089553688791,8.308364201017,8.486777425377001,8.655701577288001,8.813987306825,8.957148006596,9.082510634122,9.189274320582,9.277836812003
1988-06,7.514071682768001,7.885059594908,8.052584036972,8.194738778725,8.336848890071,8.474746961504,8.602225516058,8.715539356461,8.813156331368,8.894937190223
1988-07,7.91758704802,8.245252465797,8.392721363855,8.501583708076,8.617902745291,8.749203681996,8.889630558304,9.030416487515,9.163775731811,9.283986763064
1988-08,8.28859814391,8.544174652938,8.648292934382,8.732871968404,8.823767393326,8.91927521849,9.01317409398,9.100465507342,9.178136407253,9.244741856162
1988-09,8.110936839937,8.284693400859,8.353255224999,8.422569950923,8.502738069282,8.587073227402,8.66907596021,8.744762897779,8.812136375925,8.870435447866
1988-10,7.965456821930999,8.089740404196,8.122273158829,8.17452360031,8.253245730146,8.345715785474,8.440218009685001,8.529193063988,8.60848725578,8.676177861369
1988-11,8.610955526447999,8.690091488042,8.698701868218,8.726592139041,8.772346473465001,8.824981421028,8.876897139815,8.924037252927999,8.964558464739,8.997845230521
1988-12,8.964813736785999,8.971792922409,8.967077207213,8.984204184253,9.003686902521,9.017686085947,9.024345855493,9.023982790445,9.017614323107999,9.006404027003
1989-01,8.931939231379,8.933123103914,8.907778269576,8.893565869997,8.886187784276,8.879691916877,8.871049442196,8.859281154322,8.844432000962,8.826972458938
1989-02,9.396238787701,9.364880403733,9.306584315743,9.272664723454,9.251568598537,9.233782078415999,9.215152329884999,9.194423778389,9.171592548092,9.147116425477
1989-03,9.658414743207999,9.566274876418001,9.458948450168,9.3813218166,9.317395270046001,9.259963114708,9.207087315632,9.158462738533,9.1140905839,9.073907672204
1989-04,9.116164058521,9.042707271882,8.967009363076,8.931349546848,8.918989296491999,8.916040519849,8.915210564412,8.913173148034,8.908613316323,8.901189669683
1989-05,8.797914570363,8.658850411851999,8.598096651795,8.571078104604,8.556548183878,8.546658308919,8.538417889824,8.530655047491999,8.522933206003,8.515127474164
1989-06,8.133170387410999,7.958765356218,7.924580594759001,7.944499595145,7.978283921008001,8.011586985719001,8.039456786868,8.060454986883,8.074546343472,8.082264901788
1989-07,7.6449474364359995,7.453166998074,7.424404534734,7.459626528555,7.516749789019,7.578753983862,7.638554019456,7.693166954551001,7.741432139431,7.783053022192
1989-08,8.291397842739999,8.221845075485,8.186513026950001,8.178060747457,8.179410448632,8.183197674724,8.186569199233,8.188486891675,8.188666838152999,8.187147972473
1989-09,8.386307261514,8.284286304107999,8.262809218902,8.262486359616,8.265600004387,8.267393952534,8.266713146763001,8.263547844855,8.258255889076,8.251283191372
1989-10,7.853592301897,7.749371317681001,7.756239020793999,7.785347331236,7.816762865404001,7.844908473286999,7.868191627629,7.886391229292999,7.899803755489,7.9089152716680005
1989-11,7.6894395029250004,7.621098508554,7.645766452782,7.689267878069,7.727693225657,7.755787829972,7.7744761811070004,7.786185210145001,7.79325772219,7.797533695467
1989-12,7.823854852221,7.768380069879,7.775101015838,7.8012562089260005,7.829856379738,7.854959288882999,7.875136490842,7.890643618183,7.902241647146,7.910738927897
1990-01,8.099757841878999,8.156739726596,8.217771223088,8.262012213569,8.292420473822,8.313720527079001,8.329200790075001,8.340878709910001,8.349978612235,8.357262811256
1990-02,8.092463672033,8.251735460668,8.335807527092001,8.381000399628,8.408241668486001,8.42632851712,8.439211454909,8.448861498869,8.456363494616,8.462364092383
1990-03,8.319230963958,8.477833661002,8.542047709146,8.563892483897,8.569762766706999,8.570077231735999,8.568702482282,8.566997205366,8.565394896082,8.564002113753
1990-04,8.568408662080001,8.779900613856,8.862905019835,8.89560081302,8.909267535056,8.915597073608,8.918960846267,8.921027541262,8.922460520760001,8.923541412293
1990-05,8.136325119009,8.300894745881,8.401245023476,8.456785476856,8.488104260110001,8.505845317795,8.515679143298,8.520822728098,8.523175743966,8.523883840562
1990-06,7.96591031358,8.094410516137,8.181465909446,8.244949754009,8.291719333354,8.325883144912,8.350357926195,8.367344849413,8.378546437171,8.385293565962
1990-07,7.689138171861,7.802290357181,7.902436432183,7.989973689185,8.067170385699,8.135367252345,8.195407943299001,8.247909466068,8.293374905675,8.332241618957
1990-08,7.807783638806,8.014773140768,8.189552230272,8.336333423004,8.462956810789,8.5734189086,8.66993514409,8.753956793171,8.826568701705,8.888655296251
1990-09,7.713551647142,7.919079635506001,8.100735151199,8.260772892937,8.401189107985,8.523756811601,8.630055799019,8.721498241412,8.799350536163,8.864751979202
1990-10,7.489115269428001,7.68843067905,7.868287815065,8.029894276696,8.174390347281,8.302852586917,8.416297237567,8.515683450274,8.601916343673,8.675849902483
1990-11,7.322458451057,7.482529478154,7.627607737581,7.758558741372,7.876203320829,7.981319831648,8.074646252652,8.156882183221,8.228690744221,8.290700387057
1990-12,6.916427443432,7.146689022391,7.351482072386,7.532752767968,7.692310361713001,7.831836510793999,7.952893978811001,8.056934754319,8.145307624718999,8.219265241697
1991-01,6.6729783649689995,6.987331950581,7.233449856883,7.433973263135999,7.602143953261,7.74570711893,7.869248075583,7.975574453430999,8.066520953549,8.143408081896
1991-02,6.540293881498999,6.931492623154,7.224682971387,7.449332604853,7.625698583766,7.767583112027,7.884296885118,7.982051902439999,8.064944558697,8.135645378565
1991-03,6.425018097665,6.948839438009,7.3059223976870005,7.554129768485,7.73165601964,7.8633987816349995,7.965335933265001,8.047519191055,8.116110551537,8.174758627364
